sku;qty;color_id;size_id;price
111013;8;21;14;128
111013;6;21;7;128
111013;7;21;3;128
121013;6;21;4;131
121013;6;21;5;131
121013;6;21;15;131
131013;0;2;8;139
131013;0;2;7;139
131013;0;2;14;139
131013;2;8;8;139
131013;0;8;7;139
131013;0;8;14;139
131013;24;37;8;139
131013;21;37;7;139
131013;20;37;14;139
141013;4;8;7;153
141013;0;8;14;153
141013;3;8;3;153
141013;0;8;7;153
141013;0;8;14;153
141013;0;8;3;153
141013;2;31;7;153
141013;1;31;14;153
141013;1;31;3;153
540119;7;25;6;204
540119;8;25;1;204
540119;6;25;2;204
580116;19;8;15;163
580116;16;8;16;163
580116;16;8;17;163
580116;11;8;6;163
580116;34;12;15;163
580116;31;12;16;163
580116;32;12;17;163
580116;20;12;6;163
580116;0;37;15;163
580116;0;37;16;163
580116;0;37;17;0
580116;0;37;6;163
590116;18;38;4;119
590116;17;38;7;119
590116;18;38;14;119
590116;16;38;3;119
600116;0;2;5;128
600116;0;2;15;128
600116;0;2;16;128
600116;0;2;17;128
600116;0;18;5;128
600116;0;18;15;128
600116;0;18;16;128
600116;0;18;17;128
600116;0;28;5;128
600116;0;28;15;128
600116;0;28;16;128
600116;0;28;17;128
600116;19;38;5;128
600116;18;38;15;128
600116;18;38;16;128
600116;20;38;17;128
660112;8;26;16;112
660112;8;26;17;112
660112;9;26;15;112
670112;26;26;1;136
670112;26;26;2;136
670112;26;26;6;136
720119;0;3;3;124
720119;0;3;4;124
720119;0;3;5;124
720119;0;2;3;124
720119;0;2;4;124
720119;0;2;5;124
720119;0;31;3;124
720119;0;31;4;124
720119;0;31;5;124
720119;0;32;3;124
720119;0;32;4;124
720119;0;32;5;124
720119;0;28;3;124
720119;0;28;4;124
720119;0;28;5;124
720119;1;13;3;124
720119;0;13;4;124
720119;0;13;5;124
720119;2;5;3;124
720119;0;5;4;124
720119;0;5;5;124
720119;1;35;3;124
720119;0;35;4;124
720119;0;35;5;124
720119;0;62;3;124
720119;0;62;4;124
720119;0;62;5;124
720119;1;6;3;124
720119;7;6;4;124
720119;5;6;5;124
720119;0;17;3;124
720119;0;17;4;124
720119;0;17;5;124
720119;0;20;3;124
720119;0;20;4;124
720119;0;20;5;124
720119;0;38;3;124
720119;0;38;4;124
720119;0;38;5;124
730119;0;3;15;138
730119;0;3;16;138
730119;0;3;17;138
730119;0;2;15;138
730119;0;2;16;138
730119;0;2;17;138
730119;0;31;15;138
730119;0;31;16;138
730119;0;31;17;138
730119;0;32;15;138
730119;0;32;16;138
730119;0;32;17;138
730119;0;28;15;138
730119;0;28;16;138
730119;0;28;17;138
730119;0;13;15;138
730119;0;13;16;138
730119;0;13;17;138
730119;0;5;15;138
730119;2;5;16;138
730119;0;5;17;138
730119;0;35;15;138
730119;0;35;16;138
730119;0;35;17;138
730119;0;62;15;138
730119;0;62;16;138
730119;0;62;17;138
730119;7;6;15;138
730119;12;6;16;138
730119;9;6;17;138
730119;0;17;15;138
730119;0;17;16;138
730119;1;17;17;138
730119;1;20;15;138
730119;2;20;16;138
730119;0;20;17;138
730119;1;38;15;138
730119;0;38;16;138
730119;0;38;17;138
750128;0;26;3;139
750128;0;26;4;139
750128;14;26;5;139
750128;1;25;3;139
750128;0;25;4;139
750128;0;25;5;139
800128;6;25;8;146
800128;7;25;7;146
800128;7;25;14;146
800128;8;25;3;146
810128;3;12;8;146
810128;2;12;7;146
810128;6;12;14;146
810128;6;12;3;146
850119;0;26;5;162
850119;1;26;15;162
850119;0;26;16;162
850119;0;26;17;162
850119;0;19;5;162
850119;0;19;15;162
850119;0;19;16;162
850119;0;19;17;162
850119;31;14;5;162
850119;33;14;15;162
850119;33;14;16;162
850119;34;14;17;162
850119;0;25;5;162
850119;0;25;15;162
850119;0;25;16;162
850119;0;25;17;162
22409;24;31;8;316
22409;25;31;7;316
22409;24;31;14;316
22409;16;37;8;316
22409;14;37;7;316
22409;14;37;14;316
12;6;26;15;306
12;6;26;16;306
12;5;26;17;306
12;7;26;15;306
12;7;26;16;306
12;7;26;17;306
12;6;26;15;306
12;7;26;16;306
12;7;26;17;306
12;6;26;6;337
12;6;26;1;337
12;6;26;2;337
12;4;26;6;337
12;4;26;1;337
12;4;26;2;337
12;3;26;6;337
12;3;26;1;337
12;3;26;2;337
1521213;1;26;7;190
1521213;0;26;8;190
1521213;0;26;14;190
1521213;12;13;7;190
1521213;9;13;8;190
1521213;14;13;14;190
1611225;4;26;8;213
1611225;3;26;7;213
1611225;5;26;14;213
1611225;0;32;8;213
1611225;0;32;7;213
